label,lat,lon,period,start,end,lc_water_pct,lc_water_conf,lc_trees_pct,lc_trees_conf,lc_grass_pct,lc_grass_conf,lc_flooded_vegetation_pct,lc_flooded_vegetation_conf,lc_crops_pct,lc_crops_conf,lc_shrub_and_scrub_pct,lc_shrub_and_scrub_conf,lc_built_pct,lc_built_conf,lc_bare_pct,lc_bare_conf,lc_snow_and_ice_pct,lc_snow_and_ice_conf
lat33_1976_lonn96_6153,33.1976,-96.6153,historical_2016,2016-05-01,2016-08-01,0.19,0.0019,8.57,0.0857,4.58,0.0458,0.14,0.0014,3.99,0.0399,0.09,0.0009,82.08,0.8208,0.31,0.0031,0.04,0.0004
lat33_1976_lonn96_6153,33.1976,-96.6153,recent_2017,2017-05-01,2017-08-01,0.17,0.0017,7.25,0.0725,5.23,0.0523,0.03,0.0003,4.11,0.0411,0.28,0.0028,82.28,0.8228,0.67,0.0067,0.0,0.0
lat33_1976_lonn96_6153,33.1976,-96.6153,recent_2018,2018-05-01,2018-08-01,0.09,0.0009,5.9,0.059,3.43,0.0343,0.18,0.0018,5.88,0.0588,0.08,0.0008,83.89,0.8389,0.55,0.0055,0.0,0.0
lat33_1976_lonn96_6153,33.1976,-96.6153,recent_2019,2019-05-01,2019-08-01,0.08,0.0008,6.98,0.0698,4.41,0.0441,0.39,0.0039,3.98,0.0398,0.1,0.001,83.54,0.8354,0.52,0.0052,0.0,0.0
lat33_1976_lonn96_6153,33.1976,-96.6153,recent_2020,2020-05-01,2020-08-01,0.05,0.0005,7.08,0.0708,4.61,0.0461,0.16,0.0016,1.75,0.0175,0.35,0.0035,83.2,0.832,2.81,0.0281,0.0,0.0
lat33_1976_lonn96_6153,33.1976,-96.6153,recent_2021,2021-05-01,2021-08-01,0.09,0.0009,8.0,0.08,5.32,0.0532,0.41,0.0041,0.57,0.0057,0.21,0.0021,83.32,0.8332,2.07,0.0207,0.0,0.0
lat33_1976_lonn96_6153,33.1976,-96.6153,recent_2022,2022-05-01,2022-08-01,0.08,0.0008,5.76,0.0576,3.95,0.0395,0.15,0.0015,2.41,0.0241,0.11,0.0011,84.89,0.8489,2.65,0.0265,0.0,0.0
lat33_1976_lonn96_6153,33.1976,-96.6153,recent_2023,2023-05-01,2023-08-01,0.08,0.0008,6.06,0.0606,4.4,0.044,0.15,0.0015,1.59,0.0159,0.07,0.0007,84.94,0.8494,2.7,0.027,0.0,0.0
lat33_1976_lonn96_6153,33.1976,-96.6153,recent_2024,2024-05-01,2024-08-01,0.11,0.0011,5.73,0.0573,3.78,0.0378,0.28,0.0028,1.52,0.0152,0.23,0.0023,85.5,0.855,2.85,0.0285,0.0,0.0
lat33_1976_lonn96_6153,33.1976,-96.6153,recent_2025,2025-05-01,2025-08-01,0.1,0.001,7.04,0.0704,3.54,0.0354,0.2,0.002,1.5,0.015,0.08,0.0008,85.36,0.8536,2.18,0.0218,0.0,0.0
