label,lat,lon,period,start,end,lc_water_pct,lc_water_conf,lc_trees_pct,lc_trees_conf,lc_grass_pct,lc_grass_conf,lc_flooded_vegetation_pct,lc_flooded_vegetation_conf,lc_crops_pct,lc_crops_conf,lc_shrub_and_scrub_pct,lc_shrub_and_scrub_conf,lc_built_pct,lc_built_conf,lc_bare_pct,lc_bare_conf,lc_snow_and_ice_pct,lc_snow_and_ice_conf
lat33_3246_lonn96_7869,33.3246,-96.7869,historical_2016,2016-05-01,2016-08-01,0.29,0.0029,8.1,0.081,34.69,0.3469,0.0,0.0,19.74,0.1974,1.76,0.0176,32.7,0.327,2.72,0.0272,0.01,0.0001
lat33_3246_lonn96_7869,33.3246,-96.7869,recent_2017,2017-05-01,2017-08-01,0.71,0.0071,6.45,0.0645,40.54,0.4054,0.0,0.0,15.95,0.1595,0.75,0.0075,31.74,0.3174,3.87,0.0387,0.0,0.0
lat33_3246_lonn96_7869,33.3246,-96.7869,recent_2018,2018-05-01,2018-08-01,0.81,0.0081,6.0,0.06,25.88,0.2588,0.0,0.0,27.04,0.2704,3.51,0.0351,35.64,0.3564,1.12,0.0112,0.0,0.0
lat33_3246_lonn96_7869,33.3246,-96.7869,recent_2019,2019-05-01,2019-08-01,0.88,0.0088,7.96,0.0796,35.08,0.3508,0.0,0.0,18.95,0.1895,0.98,0.0098,35.55,0.3555,0.6,0.006,0.0,0.0
lat33_3246_lonn96_7869,33.3246,-96.7869,recent_2020,2020-05-01,2020-08-01,0.88,0.0088,7.34,0.0734,32.55,0.3255,0.01,0.0001,20.6,0.206,1.66,0.0166,35.75,0.3575,1.22,0.0122,0.0,0.0
lat33_3246_lonn96_7869,33.3246,-96.7869,recent_2021,2021-05-01,2021-08-01,0.92,0.0092,7.73,0.0773,42.19,0.4219,0.01,0.0001,12.14,0.1214,1.14,0.0114,34.99,0.3499,0.86,0.0086,0.03,0.0003
lat33_3246_lonn96_7869,33.3246,-96.7869,recent_2022,2022-05-01,2022-08-01,0.78,0.0078,7.02,0.0702,17.29,0.1729,0.01,0.0001,28.0,0.28,4.33,0.0433,37.37,0.3737,5.19,0.0519,0.0,0.0
lat33_3246_lonn96_7869,33.3246,-96.7869,recent_2023,2023-05-01,2023-08-01,1.18,0.0118,6.87,0.0687,19.13,0.1913,0.02,0.0002,25.37,0.2537,4.11,0.0411,38.63,0.3863,4.68,0.0468,0.0,0.0
lat33_3246_lonn96_7869,33.3246,-96.7869,recent_2024,2024-05-01,2024-08-01,0.9,0.009,7.1,0.071,15.2,0.152,0.04,0.0004,27.41,0.2741,4.64,0.0464,39.58,0.3958,5.12,0.0512,0.0,0.0
lat33_3246_lonn96_7869,33.3246,-96.7869,recent_2025,2025-05-01,2025-08-01,0.84,0.0084,9.6,0.096,25.78,0.2578,0.0,0.0,17.58,0.1758,1.73,0.0173,40.13,0.4013,4.33,0.0433,0.0,0.0
