label,lat,lon,period,start,end,lc_water_pct,lc_water_conf,lc_trees_pct,lc_trees_conf,lc_grass_pct,lc_grass_conf,lc_flooded_vegetation_pct,lc_flooded_vegetation_conf,lc_crops_pct,lc_crops_conf,lc_shrub_and_scrub_pct,lc_shrub_and_scrub_conf,lc_built_pct,lc_built_conf,lc_bare_pct,lc_bare_conf
lat32_7555_lonn97_3308,32.7555,-97.3308,historical_2016,2016-05-01,2016-08-01,3.81,0.0381,3.82,0.0382,7.56,0.0756,0.0,0.0,2.07,0.0207,0.96,0.0096,78.75,0.7875,3.02,0.0302
lat32_7555_lonn97_3308,32.7555,-97.3308,recent_2017,2017-05-01,2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.62,0.7062,29.38,0.2938
lat32_7555_lonn97_3308,32.7555,-97.3308,recent_2018,2018-05-01,2018-08-01,3.1,0.031,1.31,0.0131,3.7,0.037,0.0,0.0,3.48,0.0348,1.29,0.0129,81.92,0.8192,5.2,0.052
lat32_7555_lonn97_3308,32.7555,-97.3308,recent_2019,2019-05-01,2019-08-01,3.47,0.0347,2.71,0.0271,7.66,0.0766,0.0,0.0,0.68,0.0068,0.84,0.0084,80.24,0.8024,4.4,0.044
lat32_7555_lonn97_3308,32.7555,-97.3308,recent_2020,2020-05-01,2020-08-01,3.58,0.0358,2.67,0.0267,7.07,0.0707,0.19,0.0019,0.62,0.0062,1.17,0.0117,80.06,0.8006,4.63,0.0463
lat32_7555_lonn97_3308,32.7555,-97.3308,recent_2021,2021-05-01,2021-08-01,3.53,0.0353,2.9,0.029,7.28,0.0728,0.22,0.0022,1.44,0.0144,1.29,0.0129,79.22,0.7922,4.13,0.0413
lat32_7555_lonn97_3308,32.7555,-97.3308,recent_2022,2022-05-01,2022-08-01,3.08,0.0308,1.5,0.015,1.12,0.0112,0.0,0.0,3.09,0.0309,3.4,0.034,80.48,0.8048,7.32,0.0732
lat32_7555_lonn97_3308,32.7555,-97.3308,recent_2023,2023-05-01,2023-08-01,3.34,0.0334,2.4,0.024,2.42,0.0242,0.01,0.0001,3.12,0.0312,3.12,0.0312,81.83,0.8183,3.76,0.0376
lat32_7555_lonn97_3308,32.7555,-97.3308,recent_2024,2024-05-01,2024-08-01,3.41,0.0341,2.93,0.0293,7.85,0.0785,0.0,0.0,1.48,0.0148,0.7,0.007,80.64,0.8064,2.98,0.0298
lat32_7555_lonn97_3308,32.7555,-97.3308,recent_2025,2025-05-01,2025-08-01,3.53,0.0353,3.05,0.0305,8.79,0.0879,0.0,0.0,1.43,0.0143,0.72,0.0072,79.3,0.793,3.18,0.0318
